Operation Type, Drone ID, Step Simulated Time, Total Simulated Time
Delete, 300, 5.887082, 138.1695
Delete, 300, 3.128348, 141.2978
Delete, 300, 2.64596, 143.9438
Delete, 300, 0.5897158, 144.5335
Delete, 300, 0.543487, 145.077
Delete, 300, 1.165192, 146.2422
Delete, 300, 0.2499609, 146.4921
Delete, 300, 2.777446, 149.2696
Delete, 300, 2.419806, 151.6894
Delete, 300, 1.802844, 153.4922
Delete, 300, 3.3074, 156.7996
Delete, 300, 2.756396, 159.556
Delete, 300, 6.589592, 166.1456
Delete, 300, 4.177379, 170.323
Delete, 300, 0.8117323, 171.1347
Delete, 300, 0.6334285, 171.7681
Delete, 300, 2.343174, 174.1113
Delete, 300, 0.1492374, 174.2605
Delete, 300, 2.494889, 176.7554
Delete, 300, 2.359824, 179.1152
Delete, 300, 4.095665, 183.2109
Delete, 300, 3.503455, 186.7144
Delete, 300, 2.26079, 188.9751
Delete, 300, 1.121488, 190.0966
Delete, 300, 1.523322, 191.6199
Delete, 300, 2.558744, 194.1787
Delete, 300, 1.513499, 195.6922
Delete, 300, 0.5721529, 196.2644
Delete, 300, 1.563864, 197.8282
Delete, 300, 3.606389, 201.4346
Delete, 300, 2.338978, 203.7736
Delete, 300, 3.368783, 207.1424
Delete, 300, 0.4443412, 207.5867
Delete, 300, 1.968986, 209.5557
Delete, 300, 1.819721, 211.3754
Delete, 300, 3.096764, 214.4722
Delete, 300, 4.964518, 219.4367
Delete, 300, 3.262688, 222.6994
Delete, 300, 1.541434, 224.2408
Delete, 300, 2.852341, 227.0931
Delete, 300, 1.078451, 228.1716
Delete, 300, 3.257191, 231.4288
Delete, 300, 0.7920029, 232.2208
Delete, 300, 4.796318, 237.0171
Delete, 300, 2.036109, 239.0532
Delete, 300, 2.05017, 241.1034
Delete, 300, 3.312745, 244.4161
Delete, 300, 2.305256, 246.7214
Delete, 300, 1.813271, 248.5346
Delete, 300, 0.8359584, 249.3706
Delete, 300, 3.145962, 252.5166
Delete, 300, 4.375991, 256.8925
Delete, 300, 1.762104, 258.6547
Delete, 300, 3.496104, 262.1508
Delete, 300, 3.300304, 265.451
Delete, 300, 1.277816, 266.7289
Delete, 300, 1.658506, 268.3874
Delete, 300, 3.543284, 271.9306
Delete, 300, 4.109296, 276.0399
Delete, 300, 1.150097, 277.19
Delete, 300, 3.319644, 280.5096
Delete, 300, 2.312975, 282.8226
Delete, 300, 4.204341, 287.027
Delete, 300, 2.119874, 289.1469
Delete, 300, 1.867136, 291.014
Delete, 300, 1.020875, 292.0349
Delete, 300, 1.358813, 293.3937
Delete, 300, 2.308804, 295.7025
Delete, 300, 4.315372, 300.0179
Delete, 300, 1.137528, 301.1554
Delete, 300, 0.9711859, 302.1266
Delete, 300, 2.163474, 304.2901
Delete, 300, 1.777048, 306.0671
Delete, 300, 4.478681, 310.5458
Delete, 300, 2.221674, 312.7675
Delete, 300, 2.008582, 314.776
Delete, 300, 1.517407, 316.2934
Delete, 300, 1.669659, 317.9631
Delete, 300, 1.033918, 318.997
Delete, 300, 1.367522, 320.3645
Delete, 300, 3.661783, 324.0263
Delete, 300, 3.217578, 327.2439
Delete, 300, 1.479151, 328.723
Delete, 300, 2.225397, 330.9484
Delete, 300, 3.673056, 334.6215
Delete, 300, 1.250393, 335.8719
Delete, 300, 3.55707, 339.429
Delete, 300, 3.893346, 343.3223
Delete, 300, 3.794308, 347.1166
Delete, 300, 1.579899, 348.6965
Delete, 300, 2.667513, 351.364
Delete, 300, 3.272452, 354.6365
Delete, 300, 1.722375, 356.3589
Delete, 300, 2.494536, 358.8534
Delete, 300, 2.713612, 361.567
Delete, 300, 2.296402, 363.8634
Delete, 300, 1.156015, 365.0194
Delete, 300, 2.525533, 367.545
Delete, 300, 2.763602, 370.3086
Delete, 300, 1.912465, 372.221
Delete, 300, 2.062463, 374.2835
Delete, 300, 4.651228, 378.9347
Delete, 300, 3.854872, 382.7896
Delete, 300, 4.292849, 387.0824
Delete, 300, 4.484425, 391.5669
Delete, 300, 1.172167, 392.739
Delete, 300, 3.855639, 396.5947
Delete, 300, 2.665095, 399.2598
Delete, 300, 1.909042, 401.1688
Delete, 300, 3.246505, 404.4153
Delete, 300, 2.959278, 407.3746
Delete, 300, 3.985742, 411.3604
Delete, 300, 1.933914, 413.2943
Delete, 300, 2.224414, 415.5187
Delete, 300, 3.708173, 419.2268
Delete, 300, 3.356855, 422.5837
Delete, 300, 3.703621, 426.2873
Delete, 300, 4.394725, 430.682
Delete, 300, 1.222919, 431.9049
Delete, 300, 2.105444, 434.0104
Delete, 300, 1.170053, 435.1804
Delete, 300, 1.966313, 437.1467
Delete, 300, 2.30471, 439.4514
Delete, 300, 1.687895, 441.1393
Delete, 300, 1.285955, 442.4253
Delete, 300, 3.43718, 445.8625
Delete, 300, 2.710361, 448.5728
Delete, 300, 1.625929, 450.1988
Delete, 300, 1.758147, 451.9569
Delete, 300, 1.348242, 453.3051
Delete, 300, 1.579574, 454.8847
Delete, 300, 3.254399, 458.1391
Delete, 300, 4.311624, 462.4507
Delete, 300, 3.51854, 465.9693
Delete, 300, 3.1516, 469.1209
Delete, 300, 2.321453, 471.4423
Delete, 300, 4.421426, 475.8637
Delete, 300, 4.254036, 480.1178
Delete, 300, 4.008941, 484.1267
Delete, 300, 4.663077, 488.7898
Delete, 300, 2.85942, 491.6492
Delete, 300, 3.926357, 495.5756
Delete, 300, 2.797092, 498.3727
Delete, 300, 2.13771, 500.5103
Delete, 300, 2.988711, 503.4991
Delete, 300, 3.104461, 506.6035
Delete, 300, 4.707469, 511.311
Delete, 300, 3.463536, 514.7745
Delete, 300, 3.702402, 518.4769
Delete, 300, 3.118482, 521.5954
Delete, 300, 1.290536, 522.8859
Delete, 300, 0.7724444, 523.6584
Delete, 300, 1.679496, 525.3379
Delete, 300, 1.774171, 527.1121
Delete, 300, 1.30016, 528.4122
Delete, 300, 4.605516, 533.0178
Delete, 300, 5.735433, 538.7532
Delete, 300, 3.506843, 542.26
Delete, 300, 1.099561, 543.3596
Delete, 300, 1.599303, 544.9589
Delete, 300, 2.911834, 547.8707
Delete, 300, 1.101075, 548.9717
Delete, 300, 2.278384, 551.2501
Delete, 300, 0.9001884, 552.1503
Delete, 300, 0.1715832, 552.3219
Delete, 300, 3.509934, 555.8318
Delete, 300, 2.880586, 558.7125
Delete, 300, 3.169873, 561.8823
Delete, 300, 1.148437, 563.0308
Delete, 300, 4.232525, 567.2633
Delete, 300, 0.936151, 568.1995
Delete, 300, 0.6745986, 568.8741
Delete, 300, 3.424999, 572.2991
Delete, 300, 2.503688, 574.8027
Delete, 300, 5.071893, 579.8746
Delete, 300, 6.748124, 586.6227
Delete, 300, 2.391466, 589.0142
Delete, 300, 1.562491, 590.5767
Delete, 300, 1.662628, 592.2393
Delete, 300, 3.942814, 596.1821
Delete, 300, 3.912887, 600.095
Delete, 300, 5.936051, 606.0311
Delete, 300, 4.41687, 610.4479
Delete, 300, 4.049909, 614.4979
Delete, 300, 2.226718, 616.7246
Delete, 300, 2.101847, 618.8265
Delete, 300, 2.075833, 620.9023
Delete, 300, 1.524292, 622.4266
Delete, 300, 3.075011, 625.5016
Delete, 300, 1.966517, 627.4681
Delete, 300, 3.442845, 630.9109
Delete, 300, 1.936898, 632.8478
Delete, 300, 1.562558, 634.4104
Delete, 300, 3.168232, 637.5786
Delete, 300, 2.370241, 639.9489
Delete, 300, 6.029754, 645.9786
Delete, 300, 1.908934, 647.8875
Delete, 300, 3.840829, 651.7283
Delete, 300, 2.086379, 653.8147
Delete, 300, 1.646469, 655.4612
Delete, 300, 1.853806, 657.315
Delete, 300, 2.244863, 659.5599
Delete, 300, 4.323147, 663.883
Delete, 300, 4.093504, 667.9765
Delete, 300, 1.91389, 669.8904
Delete, 300, 2.856352, 672.7467
Delete, 300, 4.272072, 677.0188
Delete, 300, 1.290064, 678.3088
Delete, 300, 0.1759341, 678.4848
Delete, 300, 2.789672, 681.2745
Delete, 300, 1.116475, 682.3909
Delete, 300, 1.163468, 683.5544
Delete, 300, 2.398035, 685.9524
Delete, 300, 5.587192, 691.5396
Delete, 300, 3.341053, 694.8807
Delete, 300, 4.657236, 699.5379
Delete, 300, 4.813586, 704.3515
Delete, 300, 4.774183, 709.1257
Delete, 300, 4.267923, 713.3936
Delete, 300, 0.6924457, 714.0861
Delete, 300, 2.88851, 716.9745
Delete, 300, 2.537922, 719.5125
Delete, 300, 0.7119486, 720.2244
Delete, 300, 3.690655, 723.9151
Delete, 300, 4.116197, 728.0313
Delete, 300, 4.129762, 732.1611
Delete, 300, 2.608468, 734.7695
Delete, 300, 2.245052, 737.0146
Delete, 300, 2.997346, 740.012
Delete, 300, 1.73325, 741.7452
Delete, 300, 3.500359, 745.2456
Delete, 300, 2.977278, 748.2229
Delete, 300, 1.903992, 750.1269
Delete, 300, 0.8525009, 750.9794
Delete, 300, 3.37381, 754.3531
Delete, 300, 4.630341, 758.9835
Delete, 300, 3.307245, 762.2908
Delete, 300, 1.973027, 764.2638
Delete, 300, 0.09863888, 764.3624
Delete, 300, 2.869253, 767.2317
Delete, 300, 1.15135, 768.3831
Delete, 300, 2.151401, 770.5345
Delete, 300, 0.8148533, 771.3494
Delete, 300, 1.961311, 773.3107
Delete, 300, 3.07524, 776.3859
Delete, 300, 3.450086, 779.836
Delete, 300, 2.412605, 782.2486
Delete, 300, 4.00621, 786.2548
Delete, 300, 1.881922, 788.1367
Delete, 300, 788.1367, 788.1367
Search, 300, 0.9436945, 0.9436945
Search, 300, 2.583183, 3.526878
Search, 300, 1.5991, 5.125977
Search, 300, 2.457213, 7.58319
Search, 300, 0.8881311, 8.471321
Search, 300, 0.1427373, 8.614058
Search, 300, 2.054531, 10.66859
Search, 300, 2.540416, 13.20901
Search, 300, 0.6063648, 13.81537
Search, 300, 2.129268, 15.94464
